;DOY;Lake_Height;Discharge_in;Discharge_out;Prec;Air_T;Rad
69;69;429,266375;12,04258333;22,01475;0;1,570833333;179,2083333
70;70;429,2473333;10,77825;20,98075;0;4,616666667;184,8333333
71;71;429,2245;10,448375;20,52845833;0;6,483333333;176,9166667
72;72;429,2072083;10,90525;18,97308333;0;6,1375;97,95833333
73;73;429,1921667;11,54004167;19,69670833;0;5,616666667;52,875
74;74;429,1834583;12,049125;17,89166667;0;4,908333333;80,33333333
75;75;429,17925;10,976625;15,96245833;0;3,383333333;139,7916667
76;76;429,1769583;10,10508333;12,13291667;0,2;3,5125;89,125
77;77;429,1870417;8,444625;9,899583333;0;6,1125;208,625
78;78;429,1985;7,603833333;7,770166667;0;7,020833333;210,2083333
79;79;429,2112083;7,173291667;7,298916667;0;7,866666667;213,3333333
80;80;429,2222083;6,677083333;7,134166667;0;6,554166667;175,4583333
81;81;429,234375;6,26425;5,965416667;0;5,9875;187,7916667
82;82;429,2489167;5,980666667;5,282958333;0;6,941666667;214,7916667
83;83;429,2729583;5,612;2,959958333;0;5,841666667;61,25
84;84;429,2975417;5,170083333;2,159541667;0;7,158333333;221,2083333
85;85;429,3195417;4,914083333;4,175166667;0,9;6,75;51,875
86;86;429,3265417;4,764333333;6,605583333;0,7;9,0625;239,6666667
87;87;429,3372917;4,774125;4,760166667;0,4;7,241666667;73,79166667
88;88;429,3524167;4,691125;3,080041667;0,6;8,320833333;118,0416667
89;89;429,36275;4,598416667;5,577333333;0,6;10,59583333;93,5
90;90;429,3732917;5,810208333;4,396208333;0;13,1875;135,375
91;91;429,38675;5,160375;2,734916667;0;13,00416667;127
92;92;429,4040833;4,68825;4,633583333;0;11,72083333;113,125
93;93;429,4174167;4,360625;4,871;0;10,1875;94,75
94;94;429,4228333;4,150666667;5,614166667;0;11,8875;97,70833333
95;95;429,4219583;4,002541667;6,495;0;13,06666667;159,8333333
96;96;429,4303333;4,050041667;3,334625;15,7;11,025;51,625
97;97;429,4641667;7,253416667;1,456333333;2,3;10,80416667;222,2916667
98;98;429,485125;5,229;6,796166667;0;9,020833333;117,6666667
99;99;429,4738333;4,224708333;12,07608333;1,7;6,695833333;48,45833333
100;100;429,4610417;4,260958333;11,2455;0,2;6,4375;37,75
101;101;429,4424583;3,747041667;10,75125;0;9,554166667;267,375
102;102;429,4222917;3,580333333;11,01304167;0,5;11,02916667;189,125
